time,lat,lon,temperature
2020-08-01,30.275,6.475,
2020-08-01,30.275,6.525,
2020-08-01,30.275,6.575,
2020-08-01,30.275,6.625,
2020-08-01,30.275,6.675,
2020-08-01,30.275,6.725,
2020-08-01,30.275,6.775,
2020-08-01,30.275,6.825,
2020-08-01,30.275,6.875,
2020-08-01,30.275,6.925,
2020-08-01,30.275,6.975,
2020-08-01,30.275,7.025,
2020-08-01,30.275,7.075,
2020-08-01,30.275,7.125,
2020-08-01,30.275,7.175,
2020-08-01,30.275,7.225,
2020-08-01,30.275,7.275,
2020-08-01,30.275,7.325,
2020-08-01,30.275,7.375,
2020-08-01,30.275,7.425,
2020-08-01,30.275,7.475,
2020-08-01,30.275,7.525,
2020-08-01,30.275,7.575,
2020-08-01,30.275,7.625,
2020-08-01,30.275,7.675,
2020-08-01,30.275,7.725,
2020-08-01,30.275,7.775,
2020-08-01,30.275,7.825,
2020-08-01,30.275,7.875,
2020-08-01,30.275,7.925,
2020-08-01,30.275,7.975,
2020-08-01,30.275,8.025,
2020-08-01,30.275,8.075,
2020-08-01,30.275,8.125,
2020-08-01,30.275,8.175,
2020-08-01,30.275,8.225,
2020-08-01,30.275,8.275,
2020-08-01,30.275,8.325,
2020-08-01,30.275,8.375,
2020-08-01,30.275,8.425,
2020-08-01,30.275,8.475,
2020-08-01,30.275,8.525,
2020-08-01,30.275,8.575,
2020-08-01,30.275,8.625,
2020-08-01,30.275,8.675,
2020-08-01,30.275,8.725,
2020-08-01,30.275,8.775,
2020-08-01,30.275,8.825,
2020-08-01,30.275,8.875,
2020-08-01,30.275,8.925,
2020-08-01,30.275,8.975,
2020-08-01,30.275,9.025,
2020-08-01,30.275,9.075,
2020-08-01,30.275,9.125,
2020-08-01,30.275,9.175,
2020-08-01,30.275,9.225,
2020-08-01,30.275,9.275,
2020-08-01,30.275,9.325,
2020-08-01,30.275,9.375,
2020-08-01,30.275,9.425,
2020-08-01,30.275,9.475,
2020-08-01,30.275,9.525,
2020-08-01,30.275,9.575,
2020-08-01,30.275,9.625,
2020-08-01,30.275,9.675,
2020-08-01,30.275,9.725,
2020-08-01,30.275,9.775,
2020-08-01,30.275,9.825,
2020-08-01,30.275,9.875,
2020-08-01,30.275,9.925,
2020-08-01,30.275,9.975,
2020-08-01,30.275,10.025,
2020-08-01,30.275,10.075,
2020-08-01,30.275,10.125,
2020-08-01,30.275,10.175,
2020-08-01,30.275,10.225,
2020-08-01,30.275,10.275,
2020-08-01,30.275,10.325,
2020-08-01,30.275,10.375,
2020-08-01,30.275,10.425,
2020-08-01,30.275,10.475,
2020-08-01,30.275,10.525,
2020-08-01,30.275,10.575,
2020-08-01,30.275,10.625,
2020-08-01,30.275,10.675,
2020-08-01,30.275,10.725,
2020-08-01,30.275,10.775,
2020-08-01,30.275,10.825,
2020-08-01,30.275,10.875,
2020-08-01,30.275,10.925,
2020-08-01,30.275,10.975,
2020-08-01,30.275,11.025,
2020-08-01,30.275,11.075,
2020-08-01,30.275,11.125,
2020-08-01,30.275,11.175,
2020-08-01,30.275,11.225,
2020-08-01,30.275,11.275,
2020-08-01,30.275,11.325,
2020-08-01,30.275,11.375,
2020-08-01,30.275,11.425,
2020-08-01,30.275,11.475,
2020-08-01,30.275,11.525,
2020-08-01,30.275,11.575,
2020-08-01,30.275,11.625,
2020-08-01,30.275,11.675,
2020-08-01,30.275,11.725,
2020-08-01,30.275,11.775,
2020-08-01,30.275,11.825,
2020-08-01,30.275,11.875,
2020-08-01,30.275,11.925,
2020-08-01,30.275,11.975,
2020-08-01,30.275,12.025,
2020-08-01,30.275,12.075,
2020-08-01,30.275,12.125,
2020-08-01,30.275,12.175,
2020-08-01,30.275,12.225,
2020-08-01,30.275,12.275,
2020-08-01,30.275,12.325,
2020-08-01,30.275,12.375,
2020-08-01,30.275,12.425,
2020-08-01,30.275,12.475,
2020-08-01,30.275,12.525,
2020-08-01,30.275,12.575,
2020-08-01,30.275,12.625,
2020-08-01,30.275,12.675,
2020-08-01,30.275,12.725,
2020-08-01,30.275,12.775,
2020-08-01,30.275,12.825,
2020-08-01,30.275,12.875,
2020-08-01,30.275,12.925,
2020-08-01,30.275,12.975,
2020-08-01,30.275,13.025,
2020-08-01,30.275,13.075,
2020-08-01,30.275,13.125,
2020-08-01,30.275,13.175,
2020-08-01,30.275,13.225,
2020-08-01,30.275,13.275,
2020-08-01,30.275,13.325,
2020-08-01,30.275,13.375,
2020-08-01,30.275,13.425,
2020-08-01,30.275,13.475,
2020-08-01,30.275,13.525,
2020-08-01,30.275,13.575,
2020-08-01,30.275,13.625,
2020-08-01,30.275,13.675,
2020-08-01,30.275,13.725,
2020-08-01,30.275,13.775,
2020-08-01,30.275,13.825,
2020-08-01,30.275,13.875,
2020-08-01,30.275,13.925,
2020-08-01,30.275,13.975,
2020-08-01,30.275,14.025,
2020-08-01,30.275,14.075,
2020-08-01,30.275,14.125,
2020-08-01,30.275,14.175,
2020-08-01,30.275,14.225,
2020-08-01,30.275,14.275,
2020-08-01,30.275,14.325,
2020-08-01,30.275,14.375,
2020-08-01,30.275,14.425,
2020-08-01,30.275,14.475,
2020-08-01,30.275,14.525,
2020-08-01,30.275,14.575,
2020-08-01,30.275,14.625,
2020-08-01,30.275,14.675,
