year,date,temperature_c
1980,1980-01-01,14.59
1985,1985-01-01,14.7
1990,1990-01-01,14.96
1995,1995-01-01,14.79
2000,2000-01-01,14.8
2005,2005-01-01,14.95
2010,2010-01-01,15.14
2015,2015-01-01,15.3
2020,2020-01-01,15.34
2025,2025-01-01,16.05
